discount.csv

5720092407427;	5.00
4441623255610;	15.00
2474317746702;	99.00
9680420223157;	30.00
9931796537712;	10.00
6348785294219;	5.00

items.csv

4432441693730;	Coma-Cola;		1.21;		3.5
6348785294219;	Awesome Apple;		0.69;		8.8
8718772854190;	Strange Gum;		3.12;		8.8
2592183964326;	Quacking Duck;		223.21;		12
4441623255610;	Phat Choy;		13.78;		8.8
9931796537712;	Round Robin;		303.56;		12
9680420223157;	Merry Cherry;		14.00;		3.5
9432291669771;	Brown Suggah;		11.58;		3.5
5720092407427;	Ding Dong;		687.49;		12
6179553583730;	Salamander Spit;	483.08;		3.5
1305727705359;	Moldy Cheese;		11.94;		8.8
2474317746702;	Clairvoyant Powder;	8928.56;	12

order_01.csv

2474317746702;	3.00
9680420223157;	5.00
6179553583730;	2.25
9931796537712;	2.00
9432291669771;	1.00

order_02.csv

8718772854190;	15.00
6179553583730;	4.50
2474317746702;	10.50
9432291669771;	5.00
9931796537712;	3.00
4441623255610;	2.00
8718772854190;	5.00
2474317746702;	3.00
	
order_03.csv

4432441693730;	10.00
5720092407427;	1.00
5720092407427;	2.00
4432441693730;	10.00

order_041.csv

9432291669771;	11.20
9931796527712;	7.00
4441623235610;	3.00
6348785294219;	5.00
2474317746702;	3.50
8718772854191;	7.00
